Mean monthly rainfall (mm) - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999
 Year  Annual     JFM     AMJ     JAS     OND
 2026   -9.25    6.31  -37.79  -47.31   41.79
 2027    5.52   -2.53   50.50   -4.62  -21.27
 2028    1.40   -2.94  -89.61   22.09   76.05
 2029    4.70   -1.80    3.29    5.82   11.50
 2030  -22.88   -4.67  -28.18  -73.53   14.85
 2031    4.66   -9.51    8.70   49.19  -29.75
 2032    5.00    1.14   -4.44   62.96  -39.65
 2033   20.65    1.83   -0.83   84.00   -2.41
 2034  -23.10   -7.09  -31.58  -64.25   10.52
 2035  -41.33   -6.07  -73.52  -86.92    1.20
 2036  -22.79  -12.84   -5.87  -54.34  -18.09
 2037    6.93    6.94  -11.92   30.98    1.72
 2038   16.42    9.89  -12.38   27.32   40.87
 2039   -7.52   -3.55   13.51  -10.33  -29.72
 2040    4.05   -3.24   -4.69  -29.23   53.36
 2041  -13.43    1.41  -33.26  -28.64    6.76
 2042   15.32    9.24   24.15   -1.95   29.85
 2043  -33.84  -11.67   -4.82  -95.01  -23.85
 2044    0.49    3.66   -3.70   13.53  -11.54
 2045   -7.83   -1.09  -26.38  -33.54   29.68
 2046  -35.18   -8.75  -28.18  -59.54  -44.24
 2047   11.21  -13.16   -3.35   62.20   -0.86
 2048    0.98   24.37  -20.26    3.42   -3.61
 2049  -15.19    6.42  -54.97  -27.38   15.17
 2050   -7.05   -0.34    2.55  -39.27    8.87
 2051    6.91   18.31   42.04  -60.78   28.07
 2052   -1.90    4.39   -7.71    2.94   -7.23
 2053  -26.97   -3.41  -37.47  -77.83   10.85
 2054  -28.24    1.15  -54.21  -13.65  -46.24
 2055   15.53   -5.93  -12.64   37.45   43.24
 2056  -20.07   -3.72  -33.78  -79.14   36.36
 2057   -8.59    2.23  -13.23  -32.06    8.72
 2058    3.92   -5.21  -48.88   70.82   -1.05
 2059    9.65  -10.96   54.19  -32.11   27.50
 2060  -24.16   -5.47    5.75  -79.17  -17.74
 2061   21.58    9.02  -29.73   78.29   28.73
 2062   15.40   -6.84  -30.35   34.19   64.62
 2063  -24.94   -3.03  -31.73  -59.25   -5.76
 2064  -17.76    1.88    9.37 -116.08   33.80
 2065  -25.27  -13.04  -67.15   -7.51  -13.39
 2066   -4.59    7.70  -32.49   22.53  -16.08
 2067   -3.04   -2.97   37.16  -72.36   25.99
 2068   -2.23    9.45   -2.98  -72.74   57.35
 2069   -8.10   -6.07  -29.64  -13.20   16.52
 2070   28.36   17.82    2.16   47.05   46.42
 2071  -25.18   12.64  -46.43  -80.02   13.10
 2072    4.29  -11.91   56.09  -41.19   14.18
 2073    0.55   -1.00   22.07   -3.99  -14.91
 2074   -2.58    0.31    6.27  -26.04    9.12
 2075  -17.10  -10.97   -2.18  -61.45    6.21
 2076  -22.74   10.65  -26.27  -89.21   13.86
 2077   16.85   -4.64  -29.49   59.25   42.29
 2078   -0.56    6.44   -9.07  -11.97   12.37
