Mean monthly rainfall - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999 (mm)
 Year  Annual     JFM     AMJ     JAS     OND
         41.2     0.1    12.1   125.3    27.2
Timeseries in anomalies relative to 1970-1999 mean (%)
 Year  Annual     JFM     AMJ     JAS     OND
20th Century Model Run
 2100   -2.67 -100.00  -31.91  -12.91   57.88
Projections under SRES A1B scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001    4.68  -99.88  -25.62   12.42  -17.23
 2002  -20.11  -74.87  -76.09  -27.60   39.58
 2003  -31.20  -84.08  -74.80  -29.22  -20.73
 2004  -54.92  -42.72  -80.76  -50.48  -63.97
 2005   -5.37  -84.85  -49.77  -27.55  117.02
 2006   -8.09 -100.00  -37.88  -19.12   56.34
 2007  -13.26  -74.73  -31.56  -19.23   22.64
 2008   14.53  -47.21  -34.17   18.24   19.27
 2009   16.84 -100.00   27.35    5.96   62.71
 2010  -47.03  -94.83  -39.17  -50.59  -33.95
 2011  -26.30  -70.56  -31.88  -21.18  -47.28
 2012  -31.62  -83.62  -69.11  -30.55  -19.69
 2013  -13.94   41.78  -68.06  -27.75   73.71
 2014   29.84  -99.99    8.46   19.27   88.54
 2015    6.75  -99.75  -48.13   23.37  -45.17
 2016   22.99  -88.89  -29.54   14.34   86.64
 2017  -27.36 -100.00  -38.19  -21.78  -48.10
 2018   30.75  -99.99   15.74   16.74  102.44
 2019  -19.56  -90.35   11.80  -30.97   19.31
 2020   15.82  -46.16  -73.50   -4.43  149.28
 2021   22.68  -99.63  132.37   14.32   12.73
 2022  -29.45 -100.00   26.60  -26.96  -65.70
 2023  -11.05  -95.56  -62.44   -0.75  -35.38
 2024  -46.88  -99.46  -81.19  -42.82  -50.18
 2025  -41.29  -97.12  -41.16  -39.29  -50.42
 2026   -7.36  -94.90  127.86  -15.18  -31.27
 2027  -32.09 -100.00   -4.28  -32.51  -42.32
 2028   18.35  -99.82    3.16   20.69   14.67
 2029   -7.19  120.75  -64.16  -11.00   35.42
 2030  -33.81  -98.65   -6.24  -38.19  -25.71
 2031   -7.22  -46.18  -55.18   -2.84   -5.90
 2032  -21.07  -83.69  -34.94  -28.82   21.07
 2033   -1.06  -89.97  -45.32   -3.48   30.06
 2034   -0.69  -92.30  -33.28    6.35  -18.40
 2035   26.37  -54.77  -77.90    6.70  163.81
 2036  -12.78 -100.00  -74.65   -8.01   -6.96
 2037  -19.25  -87.64   86.79  -33.74    0.53
 2038  -13.30  -99.81  -44.81  -14.32    5.69
 2039  -33.12  -96.22  -79.84  -39.24   16.14
 2040   -8.35  -79.46    3.81  -12.96    7.73
 2041   -8.01  -97.33  -40.11  -17.78   51.65
 2042   29.99 -100.00   -0.54   30.92   39.64
 2043  -21.02  -95.18  -64.36  -12.28  -41.81
 2044   16.86  -99.90  -32.14   22.61   12.50
 2045   -3.08  -99.87  -44.01   -1.34    7.45
 2046  -34.32 -100.00  -66.21  -38.50   -0.67
 2047  -19.31  -91.78  -88.07  -31.89   69.59
 2048   -2.59  -56.17   39.38   -6.72   -2.09
 2049   -7.63 -100.00    4.26  -20.19   45.32
 2050   -9.05  -96.17  -47.44   -8.68    6.58
 2051   28.62 -100.00  -26.76   28.53   54.12
 2052  -34.47  -99.98  -67.83  -34.10  -21.13
 2053   19.44  -99.04   16.42   16.66   33.99
 2054   10.94  -75.95   37.76   -0.73   53.10
 2055  -16.16  -98.29  -58.53  -19.62   18.92
 2056  -50.38  -99.47  -88.00  -50.69  -32.03
 2057  -27.60  -69.95  -70.39  -14.37  -69.42
 2058  -11.58 -100.00  -21.40  -17.46   20.21
 2059  -28.43  -99.83  -88.46  -27.00   -8.07
 2060  -50.02  -92.06  -17.54  -54.96  -41.57
 2061   12.77  -99.34  251.06    1.46  -40.87
 2062   10.07  -41.14   65.44   11.56  -21.33
 2063  -18.39  -77.77  -69.46  -14.25  -14.52
 2064  -29.39 -100.00  -34.53  -41.80   30.39
 2065    2.92  -73.31   40.02    6.20  -28.53
 2066  -41.18  157.16  -74.80  -47.17    0.82
 2067  -40.93  -83.36  -92.03  -39.76  -23.41
 2068   35.26  -42.63   93.31   33.00   20.05
 2069   -0.26  -98.68  -73.46   12.93  -28.20
 2070  -26.10  -36.31  -74.11  -24.21  -13.44
 2071  -20.56  -92.27  -51.56  -20.14   -8.46
 2072  -23.43  -78.44  -52.81  -25.79    0.67
 2073   -7.25  -73.28  -59.68    1.80  -25.49
 2074  -49.85  379.20  -87.65  -52.67  -21.25
 2075  -28.08  -80.56  -25.46  -28.20  -28.53
 2076    9.74  -99.96  -49.16   21.01  -15.69
 2077   20.96  -99.97  -51.27   26.46   28.13
 2078  -22.70  -99.67  -88.89  -23.97   12.85
 2079  -27.18  -83.61  -57.11  -36.79   30.65
 2080  -17.55  -99.28  -81.26  -17.01    8.58
 2081  -13.93 -100.00  -29.21  -29.69   65.87
 2082  -24.67    3.92  -86.92  -40.56   76.32
 2083    2.74  -99.11  -25.85    0.85   24.51
 2084  -13.87  -99.62   -0.00  -18.88    3.32
 2085  -34.14  -65.44  -21.24  -51.60   40.77
 2086  -14.12   37.04  -79.07   -9.86   -4.95
 2087    8.88  -82.28  -11.51    4.84   36.88
 2088   23.35  -98.46  -53.53   23.72   56.23
 2089  -53.42  -96.23  -79.77  -53.77  -39.93
 2090  -29.87  -99.52  -93.38  -30.45    1.31
 2091  -41.85  -98.06  -84.85  -52.62   27.19
 2092  -36.98  -97.79  -66.62  -45.69   16.58
 2093    9.36   -5.45  -77.88   12.09   35.66
 2094  -16.25  -16.17  -75.09  -29.87   72.85
 2095  -14.80  -99.01  -28.43  -11.09  -25.63
 2096  -39.89  -86.93  -83.48  -38.28  -27.78
 2097  -32.47  -87.20  -33.81  -28.16  -51.62
 2098  -14.86  -68.19  -66.73  -13.17    0.61
 2099   30.80  -75.69  -78.82   33.90   65.65
 2100  -33.03  -91.28  -81.85  -30.63  -22.18
Projections under SRES B1 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001   13.01  -52.69   95.59    0.46   34.34
 2002  -16.15  -91.97  -19.05  -16.70  -12.07
 2003   26.14  -87.41   -0.50   37.45  -13.81
 2004   13.70  -64.19   49.00   14.87   -7.22
 2005  -26.48  -96.56  -82.45  -55.14  130.89
 2006  -46.29   46.09  -63.32  -46.20  -39.39
 2007    8.95    0.69  199.60    1.76  -42.80
 2008   35.08  -98.85   52.59   35.31   26.61
 2009    9.60  -62.65   45.15    9.82   -7.04
 2010   -1.50 -100.00  -11.55    0.63   -6.55
 2011  -32.82  -97.71  -55.84  -30.36  -33.75
 2012  -31.98  -97.48  -91.45  -17.13  -73.82
 2013   -8.86  257.66   14.44   -9.67  -16.28
 2014   59.35  -82.16  350.86   47.27  -14.38
 2015  -13.35  -96.87  -53.27  -16.58   19.60
 2016  -30.70  -99.89  -55.11  -27.92  -32.45
 2017  -36.27  415.00   42.96  -54.53   11.38
 2018    1.43  -56.39   -2.98    9.92  -35.64
 2019  -30.66  -99.73  -86.26  -26.05  -26.93
 2020   21.92  -54.39  -45.99   23.78   43.84
 2021   -2.55  -99.97  -34.49   -4.76   22.14
 2022  -28.06  -98.46  -71.27  -28.10   -8.41
 2023  -13.80 -100.00  -61.55  -16.27   19.15
 2024   -3.75  -86.49  -74.28    9.10  -31.35
 2025   12.67  -99.99  132.15    6.53  -11.95
 2026   46.42  -99.96  224.13   41.16   -8.07
 2027  -30.57  -72.49  -81.34  -27.23  -23.26
 2028   -8.25  -91.25  -63.48   -3.15   -6.91
 2029  -22.79  -25.40  108.53  -37.19  -14.85
 2030    4.53  186.20  -25.01   -3.38   53.68
 2031  -30.75  -98.30  -75.34  -43.95   50.19
 2032   10.12  -93.82  -59.69   11.66   34.42
 2033   -3.98 -100.00   66.44  -27.16   71.89
 2034   -1.28  -99.98  -73.10   12.38  -32.06
 2035  -14.95 -100.00   55.44  -17.01  -36.58
 2036   -4.37  -99.07   41.25  -11.53    8.59
 2037   65.05  -85.07  384.87   53.45  -23.48
 2038    4.82 -100.00  108.78    0.01  -18.99
 2039  -20.95  -97.42  -30.36  -24.86    1.53
 2040  -21.83  -62.69  -73.72  -14.76  -31.20
 2041   42.86  -91.54  203.85   26.43   47.32
 2042   -0.69  -84.21   59.40   -1.97  -21.33
 2043   -7.57  -57.82  -82.73   -3.73    8.37
 2044  -18.92  -95.65  -73.51  -14.11  -16.60
 2045   -5.86  -80.63  -14.42   -8.03    8.18
 2046  -24.30  -99.89  -55.76  -15.04  -52.81
 2047   31.74  -97.92   26.76   37.48    7.85
 2048  -28.25  -90.89  -88.25  -27.66   -4.06
 2049  -16.59  -79.89  -73.02  -14.43   -1.23
 2050  -13.97  -99.98  -47.91  -20.88   33.30
 2051  -23.72 -100.00  -57.07  -21.50  -18.86
 2052  -16.14   67.56   76.43  -21.03  -35.03
 2053   55.32  -87.79  -74.52   46.01  156.56
 2054  -60.45  -81.32  -87.61  -58.08  -59.21
 2055   37.94  -99.92  131.48   30.67   30.21
 2056  -34.56  -86.25  -20.46  -41.74   -7.56
 2057   -3.14   -4.99   -7.16  -11.68   38.11
 2058  -46.43  -98.55  -77.70  -39.83  -62.79
 2059   24.15 1554.49  -36.34   33.93    1.48
 2060  -23.30  -99.92  -70.08  -27.64   17.77
 2061  -63.55  -79.09  -89.49  -59.28  -71.65
 2062  -33.54  -99.40  -68.68  -34.02  -15.52
 2063  -10.35  -99.58  -85.89   -0.18  -23.35
 2064   -7.09  -99.72  -59.31    1.36  -22.54
 2065  -11.93 -100.00  -42.26  -20.04   39.30
 2066  -17.62  -51.65  -24.59  -19.35   -6.42
 2067  -57.99   11.04  -59.97  -53.92  -76.09
 2068   -8.15  -57.71  -75.64   -9.53   28.48
 2069  -53.28  -85.62  -86.47  -47.91  -63.19
 2070  -22.45 -100.00  -81.18  -23.98   11.02
 2071  -23.93  -99.85  -58.22  -22.92  -13.12
 2072  -31.40  -96.79  -74.67  -33.98   -0.05
 2073  -40.30  -93.45  -77.66  -50.97   25.78
 2074  -23.07   -3.05  -13.13  -16.44  -58.13
 2075  -24.25 -100.00  -46.38  -23.37  -18.24
 2076  -12.91  -95.25  -76.99  -21.84   57.12
 2077    6.15  -87.83  -63.14    9.79   20.49
 2078    9.26  -95.41   50.52    9.92  -11.89
 2079  -32.60  -83.82  -75.84  -27.09  -38.59
 2080  -30.81  -99.68  -84.79  -20.76  -52.95
 2081  -35.02  -91.73   -8.75  -37.02  -37.33
 2082  -10.60  -98.45  -59.21  -11.74   16.59
 2083  -42.23  -54.50  -82.43  -36.73  -49.67
 2084  -14.37  -99.10   43.64  -22.29   -3.42
 2085  -41.39   20.95  -86.37  -37.81  -38.07
 2086  -18.83  -23.02  -80.38  -17.61    2.97
 2087  -14.90  -56.61  -35.41  -14.11   -9.26
 2088  -29.63  -85.71  -70.54  -36.69   21.33
 2089  -39.96  -99.52  -75.45  -42.64  -11.65
 2090  -34.11  -99.44  -72.57  -42.48   21.80
 2091   -7.71  -60.06   94.54  -20.80    7.29
 2092   52.44  -97.62   -7.38   55.96   63.32
 2093   -0.53  -88.48  -66.24   -6.57   56.90
 2094   26.47 -100.00  -50.34   45.14  -25.08
 2095    5.93 -100.00  -63.21   10.42   16.29
 2096   15.39  -74.07  -59.31   29.28  -15.13
 2097  -15.62  -67.85  -69.12  -10.62  -14.71
 2098  -10.74  -85.54  -84.83  -17.92   55.65
 2099  -17.67  -99.96  -80.93   -5.34  -46.09
 2100  -32.69  -94.25  -87.83  -28.85  -25.65
