Mean monthly rainfall - Model Simulations
Refer to Accompanying Documentation
NaN indicates insufficient data is available
Model Climatology 1970-1999 (mm)
 Year  Annual     NDJ     FMA     MJJ     ASO
        166.8   127.4   171.0   159.1   209.6
Timeseries in anomalies relative to 1970-1999 mean (%)
 Year  Annual     NDJ     FMA     MJJ     ASO
20th Century Model Run
 2082   10.95   -1.60  -16.34   20.06   33.91
 2083    1.39   -9.73   -6.45    7.74    9.74
 2084   -1.65  -14.96    6.63    6.44   -6.46
 2085   20.73  -21.58   17.24   40.20   34.51
 2086   12.47  -10.65   15.79   -7.63   39.09
 2087   -3.33   11.21  -21.32   -2.21    1.64
 2088   -1.25  -16.52  -22.43   12.58   14.82
 2089   17.42    7.90    8.37   -3.89   46.79
 2090    2.42   15.32   -7.94  -25.74   24.40
 2091   -2.31   -9.18   -6.67   -3.80    6.56
 2092   -9.17  -24.95  -22.16  -10.02   11.66
 2093    9.77   31.68  -13.79    1.57   21.91
 2094    9.71    3.04  -15.69   11.96   32.78
 2095   16.96   24.44   -7.48   29.68   22.67
 2096    4.09    2.37    7.06  -11.87   14.83
 2097   11.50   14.46  -11.83    2.24   35.75
 2098   26.71   -0.30   16.07   29.69   49.56
 2099   37.36   50.19   -3.25   58.39   46.73
 2100   32.65   26.58    1.46   36.85   58.59
Projections under SRES B1 scenario
 2000     NaN     NaN     NaN     NaN     NaN
 2001     NaN     NaN  -10.87    1.31    2.63
 2002  -10.10  -32.86    6.88  -11.10   -9.37
 2003   26.93   12.11    4.24   27.97   53.67
 2004  -14.00  -10.70  -22.23   -4.22  -16.70
 2005  -16.87  -35.16    6.69  -10.30  -29.97
 2006  -10.10    3.24    3.77  -20.89  -21.32
 2007    7.78  -15.04   -1.93   29.09   13.41
 2008  -21.29  -25.09  -15.17   13.22  -50.17
 2009   13.15   -2.70   -3.49   31.52   22.43
 2010   -5.04  -10.14   -5.19   17.51  -18.94
 2011  -15.96  -11.81  -14.80  -17.08  -18.59
 2012    4.88   -6.30    2.28   10.93    9.20
 2013   -2.76   -0.18    6.65    0.03  -14.13
 2014  -10.82    1.48  -22.98   -5.61  -12.32
 2015    5.04  -24.66   14.87   -3.50   21.55
 2016   10.55   22.61    7.43   15.34    2.15
 2017  -10.47  -30.48   10.98    8.47  -30.17
 2018   13.27    5.19   13.47   11.31   19.50
 2019    3.86   44.14    2.38    9.84  -23.95
 2020   -6.40  -13.07  -10.49    7.58   -9.61
 2021    7.24    0.15    2.74    8.71   14.10
 2022   -8.62   21.84   11.43  -24.42  -31.51
 2023   -7.53  -24.00   12.04   -5.42  -15.08
 2024  -11.44  -32.63    0.08  -24.55    2.00
 2025   -9.65   14.51   -3.29  -16.76  -24.13
 2026    9.98    0.44   -1.14   12.47   22.96
 2027   -5.77  -34.39    1.60   -0.15    1.37
 2028   -4.46    9.35  -15.01   -5.58   -3.40
 2029   -6.29   -4.43   -0.88  -16.08   -4.40
 2030  -11.64  -48.54  -13.52   -8.76   10.15
 2031    3.25  -17.86    2.33   15.89    7.22
 2032    0.77   21.72    7.85   -5.22  -13.19
 2033   -5.97  -28.63    8.33    9.94  -15.95
 2034   10.83  -15.77   34.09  -16.70   28.95
 2035   25.20   35.01    0.40   34.94   32.06
 2036    8.73  -18.32   -2.28   14.53   29.77
 2037    1.94   14.54   13.43    0.29  -13.86
 2038    9.86   -5.03  -21.54    2.30   50.26
 2039   -7.67   10.42   -9.60  -15.93  -10.83
 2040   -2.87  -18.37   -1.78   12.05   -5.65
 2041   -3.67  -19.53   -7.30   10.92   -2.15
 2042   19.49  -12.87    7.94   15.84   51.37
 2043   -8.97   10.96  -11.22   -7.11  -20.65
 2044    5.33  -37.99   -4.10   17.68   29.99
 2045   10.40   -8.51   30.27   -5.28   17.59
 2046   -3.56  -20.63   -9.20   -1.80   10.07
 2047    0.22   -7.54   10.17   -2.24   -1.32
 2048    1.09   16.58    2.26   -7.50   -2.75
 2049   -3.46    6.04  -11.73   16.48  -17.63
 2050  -12.67  -10.21    2.20  -14.55  -24.88
 2051   16.36  -20.21    1.00   40.38   32.89
 2052   20.49   23.65    7.46   10.72   36.63
 2053   18.39   27.40   -6.76   27.44   26.55
 2054   10.48   21.02   -4.56    6.46   19.40
 2055    9.50  -13.54  -24.68   77.59   -0.32
 2056   18.75    9.20   -6.03   41.73   27.33
 2057   21.90   21.98   -5.97   36.66   33.37
 2058    7.21   -4.82  -31.38    7.22   45.99
 2059    4.78   26.93    6.21    8.18  -12.45
 2060   21.31    6.73   21.24   28.80   24.55
 2061   -3.72  -20.44    4.74    9.39  -10.40
 2062    1.31   23.85   -1.85  -13.21    1.20
 2063   16.37   39.53    7.52    1.70   20.63
 2064   -6.75  -42.57  -12.75    8.07    8.67
 2065   11.19    0.79    8.63   27.26    7.41
 2066    1.90    3.80    5.00    0.63   -0.83
 2067  -10.26   -2.99  -18.81  -13.88   -4.97
 2068   -2.81   -9.28   -2.55   -7.04    4.13
 2069  -12.66  -31.46  -25.62    0.27   -0.47
 2070   19.32    6.03   -5.46   41.07   31.10
 2071   30.21  -20.91   15.47   56.27   53.53
 2072   28.44   -0.41   16.26   33.35   52.20
 2073   21.67   13.68   17.88   34.16   20.14
 2074   -9.29   -6.93  -25.70    3.77   -7.26
 2075   13.74  -13.92   -2.10   11.38   45.27
 2076   19.05  -15.39   30.71   34.45   18.77
